Timestamp,DNS Lookup (ms),TCP Connection (ms),SSL Handshake (ms),TTFB (ms),Response Time (ms),DOM Content Loaded (ms),Total Load Time (ms)
20/04/2025 00:30,0,0,0,2,1,0,17
20/04/2025 00:47,0,0,0,1,1,0,18
20/04/2025 00:49,0,0,0,2,1,0,23
20/04/2025 00:52,0,0,0,2,0,0,17
20/04/2025 00:56,0,0,0,2,0,0,22
20/04/2025 01:00,0,0,0,1,1,0,20
20/04/2025 01:01,0,0,0,1,0,0,18
20/04/2025 01:03,0,0,0,1,0,0,16
20/04/2025 01:04,0,0,0,2,0,0,25
20/04/2025 01:06,0,0,0,1,0,0,18
20/04/2025 01:07,0,0,0,1,1,0,16
20/04/2025 01:08,0,0,0,4,0,0,34
20/04/2025 01:10,0,0,0,1,0,0,18
20/04/2025 01:11,0,0,0,1,1,0,17
20/04/2025 01:13,0,0,0,1,1,0,16
20/04/2025 01:22,0,0,0,2,0,0,16
20/04/2025 01:35,0,0,0,2,0,0,20
20/04/2025 01:37,0,0,0,2,0,0,20
20/04/2025 01:39,0,0,0,1,1,0,17
20/04/2025 01:41,0,0,0,1,1,0,21
20/04/2025 01:43,0,0,0,1,1,0,60
20/04/2025 01:45,0,0,0,1,0,0,18
20/04/2025 01:48,0,0,0,2,0,0,57
20/04/2025 01:51,0,0,0,1,1,0,17
20/04/2025 01:53,0,0,0,1,0,0,17
20/04/2025 01:55,0,0,0,1,2,0,18
20/04/2025 01:58,0,0,0,1,1,0,18
20/04/2025 02:01,0,0,0,2,0,0,17
20/04/2025 02:05,0,0,0,1,0,0,18
20/04/2025 02:07,0,0,0,1,0,0,18
20/04/2025 02:09,0,0,0,1,1,0,16
20/04/2025 02:12,0,0,0,1,0,0,16
20/04/2025 02:13,0,0,0,1,1,0,17
20/04/2025 02:15,0,0,0,1,1,0,18
20/04/2025 02:18,0,0,0,2,0,0,17
20/04/2025 02:22,0,0,0,1,1,0,18
20/04/2025 02:25,0,0,0,1,1,0,17
20/04/2025 02:36,0,0,0,1,0,0,24
20/04/2025 02:38,0,0,0,1,1,0,16
20/04/2025 02:40,0,0,0,1,1,0,17
20/04/2025 02:41,0,0,0,1,1,0,16
20/04/2025 02:50,0,0,0,2,1,0,25
20/04/2025 02:51,0,0,0,1,0,0,18
20/04/2025 02:53,0,0,0,1,1,0,17
20/04/2025 02:55,0,0,0,1,1,0,17
20/04/2025 02:56,0,0,0,1,1,0,16
20/04/2025 02:57,0,0,0,1,0,0,18
20/04/2025 02:59,0,0,0,1,1,0,18
20/04/2025 03:00,0,0,0,1,0,0,16
20/04/2025 03:02,0,0,0,2,1,0,19
